FSA_postal_code,BUILDING RENOVATOR,CLOTHING DROP BOX LOCATION PERMIT,COMMERCIAL PARKING LOT,DRAIN LAYER,DRIVEWAY PAVING CONTRACTOR,DRIVING INSTRUCTOR (V),DRIVING SCHOOL OPERATOR (B),DRIVING SCHOOL OPERATOR (V),EATING ESTABLISHMENT,HAWKER/PEDLAR ON FOOT,HAWKER/PEDLAR WITH MOTOR VEHICLE,HEATING CONTRACTOR,INSULATION INSTALLER,LAUNDRY,LIMOUSINE OWNER,MASTER HEATING INSTALLER,MASTER PLUMBER,MOBILE VENDING (FOOD TRUCK),MOTORIZED REFRESHMENT VEHICLE OWNER,NON-MOTORIZED REFRESHMENT VEHICLE OWNER,PAWN SHOP,PAYDAY LOAN,PERSONAL SERVICES SETTINGS,PLACE OF AMUSEMENT,PLUMBING & HEATING CONTRACTOR,PLUMBING CONTRACTOR,PRECIOUS METAL SHOP,PRIVATE PARKING ENFORCEMENT AGENCY,PUBLIC GARAGE,PUBLIC HALL,RETAIL STORE (FOOD),SECOND HAND SHOP,SMOKE SHOP,TAXICAB BROKER,TAXICAB OWNER,TEMPORARY FIREWORKS VENDOR (OVER 25 KG),TEMPORARY FIREWORKS VENDOR (UNDER 25 KG),TEMPORARY SIGN - A-FRAME,TEMPORARY SIGN - MOBILE,THEATRE,TORONTO TAXICAB OWNER,TOW TRUCK OWNER,BOWLING HOUSE,BUILDING CLEANER,COLLECTOR OF SECOND HAND GOODS,DRIVE-SELF RENTAL OWNER,HOLISTIC CENTRE,PERMANENT FIREWORKS VENDOR,VAPOUR PRODUCT RETAILER,AUCTIONEER,BILLIARD HALL,BODY RUB PARLOUR,CARNIVAL,DRAIN CONTRACTOR,LIMOUSINE SERVICE COMPANY,MOBILE VENDING (ICE CREAM TRUCK),PET SHOP,TEMPORARY MOBILE FIREWORKS VENDOR,ADVERTISING,SWIMMING POOL,SECOND HAND SALVAGE SHOP,SECOND HAND SALVAGE YARD,TEMPORARY LEASE FIREWORKS VENDOR,ADULT ENTERTAINMENT CLUB,BILL DISTRIBUTOR,ENTERTAINMENT ESTABLISHMENT/NIGHTCLUB,HAWKER/PEDLAR WITH PUSH CART,CHIMNEY REPAIRMAN,TAXICAB OPERATOR,TEMPORARY SIGN PROVIDER,SIDEWALK CAFE,SIDEWALK VENDING,TEMPORARY SIGN - GROUND-MOUNTED,PRIVATE TRANSPORTATION COMPANY,CIRCUS,TRANSIENT TRADER,MARKETING DISPLAY,TEMPORARY SIGN - NEW DEVELOPMENT,TEMPORARY SIGN - PORTABLE,CLOTHING DROP BOX OPERATOR,BATH HOUSE,AUTO SERVICE STATION,PEDICAB OWNER,CURBLANE VENDING,CURB LANE CAFE,BOATS FOR HIRE,SHORT TERM RENTAL COMPANY,MOTOR VEHICLE RACING
M4R,18,3,6,0,0,1,2,34,74,2,0,1,0,1,0,1,1,0,0,0,0,0,18,0,0,2,0,0,0,1,30,0,0,0,3,0,0,1,0,0,1,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M4S,29,11,45,0,0,4,2,0,415,0,0,3,1,25,17,5,4,0,1,15,0,0,99,2,0,6,1,0,14,0,199,31,2,0,21,0,0,10,1,3,1,0,0,0,0,5,41,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,58,1,0,0,0,0,13,1,0,0,0,0,0,0,0,0,0,0
M4T,14,0,9,0,0,0,1,0,275,2,0,0,0,19,1,0,0,0,0,0,0,0,103,1,0,0,0,1,0,0,101,8,3,0,0,0,0,10,0,0,0,0,0,0,0,0,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0
M4V,22,7,9,1,0,1,0,0,95,1,0,0,0,5,0,3,1,1,3,4,0,0,19,0,1,1,0,3,7,2,41,2,4,0,42,0,0,3,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0
M4W,13,1,35,2,0,0,1,0,439,1,0,0,0,13,2,0,6,1,1,0,0,0,109,2,0,4,4,1,22,2,313,19,22,1,9,0,0,12,0,2,0,0,0,0,0,11,11,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,7,0,1,0,0,9,0,0,0,0,0,0,1,0,0,0,0
M4X,12,0,9,0,0,5,3,0,195,9,5,0,0,16,4,0,3,2,3,10,1,0,29,7,0,2,0,0,4,1,157,3,1,0,73,0,0,0,0,0,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,2,0,0,0,0,15,0,0,0,0,0,13,0,1,0,0,0,0,0,0,0,0,0
M4Y,17,6,52,0,0,7,3,0,856,2,1,0,0,27,6,0,3,0,3,10,6,10,169,15,0,3,11,4,8,2,318,30,9,0,12,0,0,18,0,1,4,0,0,0,0,3,92,0,6,2,0,0,0,0,0,0,3,0,0,0,0,0,0,4,1,0,0,0,0,0,49,1,0,0,0,0,3,0,1,0,6,0,1,0,0,0,0,0
M5A,43,2,78,0,0,20,2,0,777,16,3,1,1,64,12,2,5,2,2,18,4,1,152,8,0,4,2,2,173,21,484,30,6,6,137,0,1,13,0,1,23,71,0,0,0,16,13,0,1,10,2,0,0,0,4,0,0,0,0,0,1,1,0,1,0,3,3,0,0,0,28,3,0,0,0,0,4,11,0,0,0,0,10,0,0,0,0,0
M5B,6,1,76,0,0,0,0,1,699,3,0,1,0,11,18,0,2,0,0,6,10,3,126,7,0,0,30,1,9,7,494,92,7,0,23,0,0,10,3,5,0,1,0,0,0,12,8,0,1,2,7,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,21,10,0,0,0,0,2,0,1,0,4,0,23,0,0,0,0,0
M5C,7,0,32,0,0,0,0,0,307,0,0,0,0,14,0,0,0,0,1,1,7,0,70,1,0,0,1,2,10,3,177,32,12,0,4,0,0,1,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,9,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
M5E,8,2,37,0,0,0,0,0,280,1,0,0,0,11,0,0,0,0,2,0,0,0,24,0,0,0,0,3,8,1,187,2,5,0,4,0,0,2,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,1,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0
M5G,1,2,63,0,0,0,0,0,591,1,1,0,0,26,1,0,0,4,3,0,0,0,57,3,0,0,0,3,7,1,323,5,12,1,10,1,0,9,0,0,0,0,0,0,0,7,22,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,26,16,1,0,0,0,2,0,0,1,0,0,0,3,0,0,0,0
M5H,3,0,43,0,0,0,0,0,542,0,0,0,0,18,4,0,0,0,0,1,0,0,53,0,1,1,0,2,7,4,254,0,19,0,3,0,0,4,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,18,18,0,0,0,0,0,10,0,0,0,0,0,7,5,0,0,0
M5J,7,1,68,0,0,1,0,0,459,1,0,0,0,17,0,0,0,0,0,0,0,0,51,2,0,0,0,7,5,2,311,0,8,0,3,0,0,1,0,0,1,0,0,0,0,16,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,20,0,0,0,0,0,1,0,0,0,0,0,3,0,2,2,0
M5K,0,0,3,0,0,0,0,0,82,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,1,62,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
M5L,0,0,0,0,0,0,0,0,63,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,52,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0
M5M,48,9,4,0,1,4,1,0,175,0,0,3,0,16,1,4,5,0,3,4,0,0,78,1,2,4,1,1,20,0,108,13,5,0,60,0,1,3,0,0,0,2,0,0,0,1,9,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
M5N,33,5,4,0,0,4,1,0,74,3,1,1,0,10,0,2,2,0,1,0,2,0,60,1,0,1,1,0,0,1,45,14,0,0,17,0,2,4,0,1,0,0,0,0,0,0,28,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
M5P,20,7,3,1,0,1,0,0,58,2,0,0,0,5,0,1,4,2,1,3,0,0,25,0,1,4,0,0,30,0,47,1,0,0,47,0,0,1,10,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0
M5R,33,0,40,0,0,4,2,0,500,9,3,3,0,30,2,4,9,0,2,8,2,0,328,1,1,2,6,2,41,5,230,34,11,0,103,0,0,6,0,3,0,0,0,0,0,10,33,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,24,6,0,0,0,1,4,20,1,0,0,1,1,0,0,0,0,0
M5S,10,4,37,0,0,1,2,1,799,2,0,0,0,25,2,1,0,5,2,4,1,1,80,9,0,0,1,6,13,3,292,21,8,0,7,0,0,12,0,4,0,0,0,0,0,1,22,0,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,75,15,0,0,0,0,11,0,1,0,0,0,0,8,0,0,0,0
M5T,26,2,76,0,2,6,17,0,1452,18,0,0,0,21,3,0,0,4,9,11,0,1,250,20,1,0,4,1,16,3,838,94,31,0,19,6,3,25,1,1,0,0,0,0,0,7,75,0,3,1,7,0,0,0,2,0,3,0,0,0,0,0,0,0,0,2,6,0,1,0,171,7,0,0,0,0,159,0,0,0,3,0,79,1,0,0,0,0
M5V,23,4,214,1,1,9,0,0,1634,6,0,0,0,40,6,0,5,9,14,11,0,0,206,10,0,1,0,2,58,16,498,49,13,5,29,0,1,37,0,3,0,14,1,0,0,14,21,0,7,4,8,0,0,0,2,0,1,0,0,0,0,1,0,1,2,88,0,0,0,0,197,34,0,1,0,0,9,6,0,0,1,0,61,6,20,0,0,0
M5W,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M5X,4,0,3,0,0,0,0,0,92,0,0,0,0,1,0,0,0,0,0,0,0,0,18,0,0,0,2,0,0,0,105,3,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M5Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M5Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M6A,32,15,16,1,2,10,17,3,387,1,1,9,1,29,2,7,6,1,3,12,3,5,150,3,1,7,9,2,172,0,334,27,8,0,108,11,4,0,103,2,5,46,1,0,1,24,37,1,2,0,2,3,0,0,0,0,9,0,0,0,0,0,2,0,0,0,0,0,0,0,0,12,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
M6B,90,23,6,4,0,15,3,0,205,7,4,10,0,26,2,9,12,1,4,11,2,0,76,5,4,12,5,2,167,2,196,15,0,0,63,2,1,0,33,0,3,3,3,0,0,4,36,0,0,2,8,0,0,6,2,7,2,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
M6C,58,20,5,0,0,4,2,0,426,8,0,1,0,44,3,3,10,7,23,7,0,2,135,6,1,12,3,0,32,3,296,24,11,0,27,0,0,1,0,0,0,4,0,0,1,1,55,0,0,1,5,0,0,0,2,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,3,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0
M6E,127,13,1,11,4,16,24,2,745,9,3,8,0,61,4,9,25,15,13,5,8,6,356,5,4,21,7,3,78,3,629,64,5,0,41,0,6,1,5,0,2,37,0,0,0,0,45,0,2,0,13,0,0,4,0,0,2,0,0,0,0,0,0,1,0,0,1,1,0,0,52,1,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0
M6G,76,4,10,2,0,13,4,1,1098,12,2,1,0,49,1,5,15,2,10,18,0,0,197,21,2,13,2,0,38,5,412,34,5,1,29,0,0,3,3,3,4,8,0,0,2,0,56,0,3,2,13,0,0,2,0,10,2,0,0,0,0,0,0,0,0,2,7,0,0,0,172,4,0,0,0,0,27,0,0,0,0,0,4,1,0,0,0,0
M6H,124,5,4,6,0,16,12,6,729,10,2,7,0,63,1,9,17,7,20,17,7,3,221,12,3,16,12,1,151,2,673,82,11,1,49,3,9,4,7,1,2,25,0,1,1,4,21,0,1,0,11,0,0,1,1,12,4,0,0,0,0,0,0,4,0,0,1,0,0,0,61,1,0,0,0,0,29,0,0,0,0,0,55,0,0,0,0,0
M6J,50,3,18,4,0,15,2,0,988,9,3,4,1,46,2,3,7,1,5,9,2,2,191,7,0,6,3,0,66,8,395,60,9,0,27,0,1,15,0,0,0,5,0,0,0,4,5,0,7,2,13,0,0,2,1,0,1,0,0,0,0,0,0,7,0,0,2,0,0,0,93,0,0,0,0,0,26,0,0,0,0,0,1,0,0,0,0,0
M6K,64,5,39,1,0,18,9,1,593,12,1,1,0,40,1,3,12,6,5,31,2,1,124,10,1,9,3,0,36,12,371,25,13,1,46,0,1,7,3,0,4,58,0,0,1,2,1,0,3,2,1,0,0,2,1,0,2,0,0,0,0,0,0,0,0,3,1,0,0,0,22,2,0,0,0,0,10,0,0,0,1,0,0,0,0,0,0,2
M6L,65,3,0,4,0,9,1,0,48,0,2,1,0,14,3,8,16,0,4,11,0,1,29,0,0,16,0,0,9,0,79,1,0,0,38,14,5,0,19,0,3,4,2,0,1,0,1,0,0,0,2,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M6M,139,18,7,7,3,27,8,4,337,16,3,7,0,43,27,9,29,1,15,12,3,2,179,0,3,24,3,2,271,7,381,22,6,0,87,3,9,0,20,0,8,34,0,0,1,5,16,0,1,0,4,7,0,8,2,20,6,0,0,0,7,3,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M6N,125,13,2,8,0,20,10,1,433,11,3,8,0,54,4,14,12,5,7,13,1,5,164,4,4,17,7,1,509,13,407,50,1,1,75,6,3,1,51,0,8,152,2,1,5,10,15,0,2,1,1,0,0,12,1,3,4,1,0,0,1,15,0,0,0,0,0,1,0,0,13,0,0,0,0,0,11,0,0,0,0,0,16,0,0,0,0,0
M6P,82,11,13,1,0,14,7,0,576,9,0,4,0,43,2,5,13,1,12,11,8,2,152,5,2,15,2,0,175,8,354,61,1,1,28,0,1,1,0,0,4,13,0,0,2,10,29,0,0,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,2,0,0,0,74,0,0,0,0,0,16,10,0,0,0,0,0,0,0,0,0,0
M6R,51,0,4,1,0,5,5,1,472,4,0,0,1,36,0,0,4,0,1,6,1,1,106,2,1,0,2,1,97,0,322,52,0,3,21,0,2,15,1,1,1,2,0,0,0,2,5,0,1,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,33,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0
M6S,85,13,7,1,0,4,3,0,337,1,0,6,0,38,1,7,25,1,4,5,1,0,146,1,4,18,1,0,78,9,290,23,3,0,36,0,0,22,10,3,1,1,0,0,0,4,21,0,0,1,2,2,0,1,1,1,4,0,0,0,0,2,0,0,0,0,2,0,0,0,59,0,0,0,0,0,37,0,1,0,0,1,0,0,0,0,0,0
M6V,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M6W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M7A,0,0,9,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
M7B,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M8E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M8H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M8K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M8V,77,20,5,4,2,11,3,0,385,5,0,2,0,33,3,3,10,3,5,20,5,2,135,3,0,15,4,0,97,10,341,25,1,1,33,0,1,2,7,0,6,4,0,0,0,1,9,0,4,1,6,0,0,2,0,0,0,1,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,1,0,5,0,1,0,0,0,0,0,1,0,0
M8W,75,18,1,3,1,7,4,0,249,1,0,2,0,25,111,10,20,0,6,3,3,2,75,1,2,11,4,0,160,4,177,19,1,0,21,0,0,1,20,0,0,38,0,1,0,3,17,0,1,1,2,7,0,2,5,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M8X,30,5,13,0,0,2,2,1,219,1,1,0,0,10,1,2,3,0,1,9,0,0,96,0,1,1,1,0,26,1,144,3,3,1,15,0,0,13,12,3,0,2,0,0,0,3,2,0,1,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
M8Y,65,5,0,4,1,8,1,0,153,2,1,0,0,17,6,1,31,1,13,14,0,0,69,1,1,30,1,2,69,0,129,4,0,0,6,0,0,2,31,0,0,9,0,0,0,0,18,0,2,0,0,1,0,4,0,9,0,0,0,0,0,0,0,2,0,0,4,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
M8Z,120,23,6,2,1,2,1,0,353,1,0,11,0,9,54,6,22,4,6,21,4,3,70,3,9,34,4,3,570,9,192,29,3,4,216,22,5,3,134,2,1,226,0,0,0,18,33,13,0,0,0,9,0,8,6,0,0,11,0,0,0,3,5,6,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0
M9A,69,12,8,6,1,13,10,0,156,1,0,5,0,11,4,19,24,1,4,2,1,0,87,3,0,17,1,1,8,0,139,3,1,1,36,0,2,1,18,0,2,1,0,0,0,0,10,0,1,1,0,0,0,9,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0
M9B,76,10,17,6,0,17,5,0,236,1,2,6,0,9,8,9,29,1,3,9,1,2,63,0,1,20,6,0,88,0,201,10,4,0,53,9,2,0,67,0,2,4,2,0,0,14,22,1,1,0,0,0,0,10,1,0,2,0,0,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
M9C,75,13,16,2,0,6,4,1,336,3,0,5,0,15,11,15,40,4,15,6,2,2,159,7,2,36,4,3,62,3,273,16,5,0,37,3,3,0,133,0,2,117,1,0,0,0,0,0,0,0,0,0,0,5,1,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
M9L,70,6,0,0,2,14,14,7,224,7,1,21,2,13,5,3,6,0,57,3,0,0,50,0,4,22,1,2,874,23,155,22,0,0,36,0,0,1,25,0,2,136,0,0,0,23,29,0,1,0,2,12,0,5,1,0,1,0,0,0,7,8,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M9M,52,8,0,1,3,20,7,4,267,28,1,3,0,23,17,6,12,2,16,9,1,2,88,1,0,12,5,2,315,11,174,17,2,3,39,0,0,0,29,0,6,150,0,0,0,11,14,0,1,0,4,10,0,0,0,11,0,0,0,0,0,0,0,2,0,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
M9N,61,15,15,1,1,16,16,7,394,6,2,5,0,46,1,8,19,1,34,4,2,10,200,1,3,14,7,0,202,5,378,26,0,3,61,0,6,0,54,0,9,7,0,1,1,6,12,0,2,1,0,0,0,3,0,0,4,0,0,0,2,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M9P,50,9,4,5,0,12,7,0,85,2,3,0,0,13,4,6,15,0,14,5,0,1,45,2,0,14,1,0,19,0,106,1,0,0,31,0,1,0,42,0,5,6,1,0,1,0,0,0,0,1,0,0,0,6,0,24,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M9R,53,21,10,1,1,27,0,3,75,10,2,5,0,13,9,8,24,3,7,8,0,1,28,0,0,14,0,1,17,0,84,3,0,0,80,0,0,1,48,0,11,10,0,0,1,0,1,0,1,1,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M9V,62,29,17,1,2,99,24,6,390,29,3,6,0,38,21,5,16,0,8,16,3,10,150,0,4,15,15,0,135,12,452,22,4,2,101,12,10,1,132,3,18,56,0,0,2,1,16,4,2,0,2,0,0,3,3,0,11,10,0,0,0,0,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M9W,107,15,49,2,2,39,12,5,760,10,0,18,2,23,39,19,32,0,14,9,4,7,101,11,19,33,13,5,797,37,369,20,12,6,178,49,10,1,226,2,13,277,3,0,0,35,18,5,4,0,0,19,3,4,4,0,1,1,0,0,2,0,11,6,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
M9X,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
